Id,Name,Branch,Company,Result of return test,Interview Status,Placement Status,Package
202001078,Arjun Menon,B.Tech ICT,Oracle,Pass ,Pass,YES,19
202001079,Nidhi Khanna,B.Tech ICT,Linked In,Pass ,Pass,YES,25
202001081,Leena Saxena,B.Tech ICT,Lenovo & Nova,Pass ,Fail,NO,0
202001082,Vinay Khan,B.Tech ICT,Lenovo,Pass ,Pass,YES,8.5
202001083,Anita Kumar,B.Tech ICT,Amazon,Pass ,Pass,YES,14
202001084,Ravi Chawla,B.Tech ICT,Infosys,Pass ,Pass,YES,62
202001085,Anjali Nair,B.Tech ICT,Nova & Dell,Fail,None,NO,0
202001086,Vikrant Bhatia,B.Tech ICT,Nova & Dell,Fail,None,NO,0
202001087,Sangeeta Sharma,B.Tech ICT,Nova & Dell,Fail,None,NO,0
202001088,Ashish Mehra,B.Tech ICT,Nexus,Pass ,Pass,YES,11
202001089,Shikha Patel,B.Tech ICT,Nova & Lenovo,Pass ,Fail,NO,0
201001101,Preeti Malhotra,M.Tech ICT,Amazon,Pass ,Pass,YES,29
201001102,Mohit Rao,M.Tech ICT,Fusion,Pass ,Pass,YES,14
201001103,Ananya Mishra,M.Tech ICT, Google,Pass ,Fail,NO,0
201001104,Arvind Khatri,M.Tech ICT,Amazon,Pass ,Pass,YES,46
201001105,Nisha Sharma,M.Tech ICT,Lenovo,Pass ,Pass,YES,12
201001106,Ashok Gupta,M.Tech ICT,Dell & Lenovo,Fail,None,NO,0
201001107,Megha Patel,M.Tech ICT,Dell ,Fail,None,NO,0
201001108,Rohan Kumar,M.Tech ICT,Dell & Nova,Fail,None,NO,0
201001109,Pooja Singh,M.Tech ICT,Linked In,Pass ,Pass,YES,15
