Student ID,Student Name,Branch,Year Of Placement,Mobile No.,Company Placed,Salary
201901046,Trisha Shah,B.Tech ICT,2023,8567234890,Atlassian ,75
201901047,Urvi Patoliya,B.Tech ICT,2023,8567234891,Accenture,15
201901048,Vaishnavi Parmar,B.Tech ICT,2023,8567234892,Accenture,12
201901049,Vedant Khanna,B.Tech ICT,2023,8567234893,IBM,20
201901050,Vihaan Roy,B.Tech ICT,2023,8567234894,Tech Mahindra,11
201901051,Vivaan Shah,B.Tech ICT,2023,8567234895,Cisco,9
201901052,Yashvi Kapoor,B.Tech ICT,2023,8567234896,Cisco,8
201901053,Zara Sharma,B.Tech ICT,2023,8567234897,Cisco,7
201901054,Aadi Verma,B.Tech ICT,2023,8567234898,Qualcomm,25
201901055,Aanya Sinha,B.Tech ICT,2023,8567234899,Qualcomm,15
201901056,Aditi Malhotra,B.Tech ICT,2023,8567234900,TCS,20
201901057,Advik Thakur,B.Tech ICT,2023,8567234901,Amazon,39
201901058,Akshara Rao,B.Tech ICT,2023,8567234902,Tech Mahindra,10
201901059,Anika Mehrotra,B.Tech ICT,2023,8567234903,Nvidia,39
201901060,Arjun Gupta,B.Tech ICT,2023,8567234904,Cognizant,10
201901061,Aryahi Patel,B.Tech ICT,2023,8567234905,IBM,24
201901062,Bhavya Iyer,B.Tech ICT,2023,8567234906,TCS,19
201901063,Darshini Basu,B.Tech ICT,2023,8567234907,Atlassian ,14
201901064,Devansh Reddy,B.Tech ICT,2023,8567234908,Sprinklr,17
201901065,Divya Kapoor,B.Tech ICT,2023,8567234909,Accenture,26
201901066,Eshaan Sharma,B.Tech ICT,2023,8567234910,IBM,20
201901067,Garima Khatri,B.Tech ICT,2023,8567234911,Nvidia,17
201901068,Ira Mehra,B.Tech ICT,2023,8567234912,Cisco,9
201901069,Ishan Malhotra,B.Tech ICT,2023,8567234913,Google,38
202101101,Jahnvi Singh,M.Tech ICT,2023,8567234914,Microsoft,49
202101102,Kartik Bedi,M.Tech ICT,2023,8567234915,Amazon,24
202101103,Keya Verma,M.Tech ICT,2023,8567234916,TCS,14
202101104,Lavanya Sharma,M.Tech ICT,2023,8567234917,IBM,19
202101105,Mahir Patel,M.Tech ICT,2023,8567234918,Wipro,8
202101106,Nisha Gupta,M.Tech ICT,2023,8567234919,Atlassian ,11
